itemid,shopid,name,currency,stock,status,ctime,t_ctime,sold,historical_sold,liked_count,brand,cmt_count,item_status,price,price_min,price_max,price_before_discount,show_discount,raw_discount,tier_variations_option,rating_star_avg,rating_star_1,rating_star_2,rating_star_3,rating_star_4,rating_star_5,item_type,is_adult,has_lowest_price_guarantee,is_official_shop,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,is_preferred_plus_seller,is_mart,is_on_flash_sale,is_service_by_shopee,shopee_verified,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,show_free_shipping,insert_date
5588960468,57040335,"Nhẫn Đôi Nam Nữ Cặp Cánh Thiên Thần, Ác Quỷ (1 chiếc)",VND,0,1,1621091527,2021-05-15 15:12:07,0,7,2,,2,sold_out,2500000000,2500000000,2500000000,0,0,0,"Trắng,Đen",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
5588945927,57040335,"Dây Chuyền Nam Titan Skullcap, Vòng Cổ Cá Tính Hợp Kim Cực Chất",VND,32,1,1621090392,2021-05-15 14:53:12,0,20,1,,10,normal,3500000000,3500000000,3500000000,5500000000,36,36,,5,0,0,0,0,10,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
5293602706,57040335,Đồng Hồ Nữ Light 3.2CM Chống Nước Phong Cách Sang Trọng,VND,10,1,1625384735,2021-07-04 07:45:35,0,3,0,,2,normal,4500000000,4500000000,5900000000,6900000000,35,35," Da Trắng (3,2CM),Da Đen (2,2CM),Kim Loại Vàng (3,2CM",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
4252471956,57040335,"Khuyên tai Unisex Double Rings Earrings, Bông Tai Cá Tính (1 Chiếc)",VND,42,1,1600143350,2020-09-15 04:15:50,0,22,3,No Brand,2,normal,2000000000,2000000000,2000000000,4000000000,50,50,"Đen,Bạc",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
4154221722,57040335,"Khuyên Tai Nữ Thời Trang, Bông Tai Dáng Dài Flower Earrings (giá 1 đôi)",VND,0,1,1600958440,2020-09-24 14:40:40,0,5,0,No Brand,2,sold_out,4000000000,4000000000,4000000000,0,0,0,,5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
3454485246,57040335,Khuyên Tai Nữ Rubi Ball Earrings (giá 1 đôi),VND,0,1,1601047053,2020-09-25 15:17:33,0,2,0,No Brand,1,sold_out,4500000000,4500000000,4500000000,0,0,0,,5,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
2929757302,57040335,"Lắc Tay Hợp Kim Titan Kiểu Dáng Sang Trọng, Vòng Tay Nữ Đính Đá",VND,0,1,1615967585,2021-03-17 07:53:05,0,6,0,No Brand,4,sold_out,5500000000,5500000000,5500000000,0,0,0,"Bạc,Vàng",5,0,0,0,0,4,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
3653344470,57040335,"Khuyên Tai Nam Tròn Hipster Vuông Cá Tính, Khuyên Tai Kẹp Không Cần Bấm Lỗ (1 Chiếc)",VND,174,1,1600484699,2020-09-19 03:04:59,0,199,10,No brand,62,normal,2500000000,2500000000,2500000000,3500000000,29,29,"Xỏ Lỗ Tai,Kẹp Tai",4,0,0,0,2,60,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
4353404904,57040335,"Khuyên Tai Nam Châm Hình Rồng, Khuyên Tai Không Cần Bấm Lỗ (1 Chiếc)",VND,52,1,1600572252,2020-09-20 03:24:12,0,71,5,No Brand,21,normal,1500000000,1500000000,1500000000,3000000000,50,50,,4,0,0,0,1,20,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
6153079755,57040335,Khuyên Tai Nam Nữ Screw Earrings (giá 1 chiếc),VND,31,1,1600402216,2020-09-18 04:10:16,0,40,3,No Brand,11,normal,900000000,900000000,900000000,1500000000,40,40,"Đồng,Bạc",4,0,0,0,1,10,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
